fid,nome,geometriaaproximada,geocodigo,anodereferencia,utmepsg
1,Boa Esperança do Norte,Não,"5101837",,31981
2,Novo Progresso,Não,"1505031",,31981
3,Balneário Rincão,Não,"4220000",,31982
4,Janduís,Não,"2405207",,31984
5,Alto Taquari,Não,"5100607",,31982
6,Novo Santo Antônio,Não,"5106315",,31982
7,Tesouro,Não,"5108105",,31982
8,Serranópolis de Minas,Não,"3166956",,31983
9,Satuba,Não,"2708907",,31985
10,Caiana,Não,"3110103",,31984
11,Varre-Sai,Não,"3306156",,31984
12,Pedro Velho,Não,"2409803",,31985
13,Sobrália,Não,"3167707",,31983
14,Soledade de Minas,Não,"3167806",,31983
15,Taiobeiras,Não,"3168002",,31983
16,Carangola,Não,"3113305",,31983
17,Vigia,Não,"1508209",,31982
18,Serra Nova Dourada,Não,"5107883",,31982
19,Alecrim,Não,"4300307",,31981
20,Santa Margarida do Sul,Não,"4316972",,31981
21,Caldas,Não,"3110301",,31983
22,Rorainópolis,Não,"1400472",,31980
23,Amajari,Não,"1400027",,31974
24,Caibi,Não,"4203105",,31982
25,Camacho,Não,"3110400",,31983
26,Santa Cruz da Esperança,Não,"3546256",,31983
27,Ibirapuã,Não,"2912806",,31984
28,Durandé,Não,"3123528",,31984
29,São José dos Ausentes,Não,"4318622",,31982
30,Charrua,Não,"4305371",,31982
31,Jaquirana,Não,"4311122",,31982
32,Quatro Irmãos,Não,"4315313",,31982
33,Agudos do Sul,Não,"4100301",,31982
34,Cruzaltense,Não,"4306130",,31982
35,Paraná,Não,"2408607",,31984
36,Paulo Bento,Não,"4314134",,31982
37,Pinhal da Serra,Não,"4314464",,31982
38,Santa Cecília do Sul,Não,"4316733",,31982
39,Barra de Santa Rosa,Não,"2501609",,31984
40,Júlio Borges,Não,"2205524",,31983
41,Morro Cabeça no Tempo,Não,"2206654",,31983
42,Currais Novos,Não,"2403103",,31984
43,Fervedouro,Não,"3125952",,31983
44,Formoso,Não,"3126208",,31983
45,Pinheiro Machado,Não,"4314506",,31982
46,Florânia,Não,"2403806",,31984
47,Angelândia,Não,"3102852",,31983
48,Capelinha,Não,"3112307",,31983
49,Coroaci,Não,"3119203",,31983
50,Santo Antônio,Não,"2411502",,31985
51,Córrego Fundo,Não,"3119955",,31983
52,Engenheiro Caldas,Não,"3123700",,31983
53,Iaras,Não,"3519253",,31982
54,Rondolândia,Não,"5107578",,31980
55,Linha Nova,Não,"4311643",,31982
56,Irará,Não,"2914505",,31984
57,Ichu,Não,"2913309",,31984
